site,latitude,longitude,date,week,treatment,plot_position,top_depth_m,middle_depth_m,bottom_depth_m,unmeasured_sea_cucumber,survey_time,abundance_initial_sea_cucumber,abundance_experimental_sea_cucumber,density_initial_sea_cucumber,density_experimental_sea_cucumber,density_change
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Addition,right,5,7.5,8.5,1,NA,3,10,0.12,0.4,0.28
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Removal,left,5.2,6.7,8.1,0,NA,12,3,0.48,0.12,-0.36
Brighton Beach,49.35914,-122.89389,02-10-2025,3,Removal,left,NA,NA,NA,0,9,12,0,0.48,0,-0.48
Brighton Beach,49.35914,-122.89389,02-10-2025,3,Control,center,NA,NA,NA,0,16,2,1,0.08,0.04,-0.04
Brighton Beach,49.35914,-122.89389,02-10-2025,3,Addition,right,NA,NA,NA,0,14,3,4,0.12,0.16,0.04000000000000001
Brighton Beach,49.35914,-122.89389,03-03-2025,6,Removal,left,NA,NA,NA,2,10,12,6,0.48,0.24,-0.24
Brighton Beach,49.35914,-122.89389,03-03-2025,6,Control,center,NA,NA,NA,0,8,2,1,0.08,0.04,-0.04
Brighton Beach,49.35914,-122.89389,03-03-2025,6,Addition,right,NA,NA,NA,0,12,3,3,0.12,0.12,0
Old Buntzen PP,49.3698033,-122.8733116,01-18-2025,0,Control,left,NA,6.6,NA,0,11,0,0,0,0,0
Old Buntzen PP,49.3698033,-122.8733116,01-18-2025,0,Addition,center,NA,5.4,NA,1,14,6,9,0.24,0.36,0.12
Old Buntzen PP,49.3698033,-122.8733116,01-18-2025,0,Removal,right,NA,6.2,NA,0,13,3,0,0.12,0,-0.12
Old Buntzen PP,49.3698033,-122.8733116,01-25-2025,1,Control,left,6.8,7.7,8.6,0,8,0,0,0,0,0
Old Buntzen PP,49.3698033,-122.8733116,01-25-2025,1,Addition,center,5.7,7.4,8.1,4,19,6,13,0.24,0.52,0.28
Old Buntzen PP,49.3698033,-122.8733116,01-25-2025,1,Removal,right,6,7.3,9.1,2,14,3,6,0.12,0.24,0.12
Old Buntzen PP,49.3698033,-122.8733116,02-10-2025,3,Control,left,NA,NA,NA,0,11,0,2,0,0.08,0.08
Old Buntzen PP,49.3698033,-122.8733116,02-10-2025,3,Addition,center,NA,NA,NA,3,19,6,34,0.24,1.36,1.12
Old Buntzen PP,49.3698033,-122.8733116,02-10-2025,3,Removal,right,NA,NA,NA,2,NA,3,15,0.12,0.6,0.48
Old Buntzen PP,49.3698033,-122.8733116,03-03-2025,6,Control,left,NA,NA,NA,0,5,0,1,0,0.04,0.04
Old Buntzen PP,49.3698033,-122.8733116,03-03-2025,6,Addition,center,NA,NA,NA,3,22,6,29,0.24,1.16,0.9199999999999999
Old Buntzen PP,49.3698033,-122.8733116,03-03-2025,6,Removal,right,NA,NA,NA,1,8,3,4,0.12,0.16,0.04000000000000001
N Croker Island,49.4481372,-122.87396,01-15-2025,0,Control,right,NA,6,NA,0,27,6,6,0.24,0.24,0
N Croker Island,49.4481372,-122.87396,01-15-2025,0,Addition,left,NA,7.7,NA,0,13,14,33,0.56,1.32,0.76
N Croker Island,49.4481372,-122.87396,01-15-2025,0,Removal,center,NA,7.5,NA,1,18,20,1,0.8,0.04,-0.76
N Croker Island,49.4481372,-122.87396,01-22-2025,1,Addition,left,8,8.8,9.6,0,13,14,10,0.56,0.4,-0.16000000000000003
N Croker Island,49.4481372,-122.87396,01-22-2025,1,Removal,center,5.9,7.1,8.2,1,12,20,6,0.8,0.24,-0.56
N Croker Island,49.4481372,-122.87396,01-22-2025,1,Control,right,6.2,7.6,8,0,10,6,1,0.24,0.04,-0.19999999999999998
N Croker Island,49.4481372,-122.87396,02-08-2025,3,Addition,left,NA,NA,NA,0,11,14,0,0.56,0,-0.56
N Croker Island,49.4481372,-122.87396,02-08-2025,3,Removal,center,NA,NA,NA,0,8,20,2,0.8,0.08,-0.7200000000000001
N Croker Island,49.4481372,-122.87396,02-08-2025,3,Control,right,NA,NA,NA,0,NA,6,9,0.24,0.36,0.12
N Croker Island,49.4481372,-122.87396,03-01-2025,6,Addition,left,NA,NA,NA,0,12,14,7,0.56,0.28,-0.28
N Croker Island,49.4481372,-122.87396,03-01-2025,6,Removal,center,NA,NA,NA,1,14,20,11,0.8,0.44,-0.36000000000000004
N Croker Island,49.4481372,-122.87396,03-01-2025,6,Control,right,NA,NA,NA,0,8,6,3,0.24,0.12,-0.12
S Croker Island,49.4314554,-122.86964,01-15-2025,0,Control,center,NA,8.4,NA,0,28,39,39,1.56,1.56,0
S Croker Island,49.4314554,-122.86964,01-15-2025,0,Addition,left,NA,7.9,NA,0,14,9,20,0.36,0.8,0.44000000000000006
S Croker Island,49.4314554,-122.86964,01-15-2025,0,Removal,right,NA,8.4,NA,1,11,12,1,0.48,0.04,-0.44
S Croker Island,49.4314554,-122.86964,01-22-2025,1,Addition,left,5.7,7.8,9.6,9,15,9,25,0.36,1,0.64
S Croker Island,49.4314554,-122.86964,01-22-2025,1,Control,center,7.6,9.4,11.5,0,11,39,20,1.56,0.8,-0.76
S Croker Island,49.4314554,-122.86964,01-22-2025,1,Removal,right,7.8,9.1,11.9,0,8,12,8,0.48,0.32,-0.15999999999999998
S Croker Island,49.4314554,-122.86964,02-08-2025,3,Addition,left,NA,NA,NA,6,15,9,24,0.36,0.96,0.6
S Croker Island,49.4314554,-122.86964,02-08-2025,3,Control,center,NA,NA,NA,4,12,39,19,1.56,0.76,-0.8
S Croker Island,49.4314554,-122.86964,02-08-2025,3,Removal,right,NA,NA,NA,0,10,12,8,0.48,0.32,-0.15999999999999998
S Croker Island,49.4314554,-122.86964,03-01-2025,6,Addition,left,NA,NA,NA,7,17,9,27,0.36,1.08,0.7200000000000001
S Croker Island,49.4314554,-122.86964,03-01-2025,6,Control,center,NA,NA,NA,13,12,39,35,1.56,1.4,-0.16000000000000014
S Croker Island,49.4314554,-122.86964,03-01-2025,6,Removal,right,NA,NA,NA,1,15,12,24,0.48,0.96,0.48
S Johnson Bay,49.4021643,-122.8662349,01-15-2025,0,Control,right,NA,10.1,NA,2,24,6,6,0.24,0.24,0
S Johnson Bay,49.4021643,-122.8662349,01-15-2025,0,Removal,left,NA,7.5,NA,3,12,16,3,0.64,0.12,-0.52
S Johnson Bay,49.4021643,-122.8662349,01-15-2025,0,Addition,center,NA,9.2,NA,0,5,2,15,0.08,0.6,0.52
S Johnson Bay,49.4021643,-122.8662349,01-22-2025,1,Removal,left,6.1,7.1,9.1,4,13,16,9,0.64,0.36,-0.28
S Johnson Bay,49.4021643,-122.8662349,01-22-2025,1,Addition,center,7.7,8.3,10.5,0,7,2,0,0.08,0,-0.08
S Johnson Bay,49.4021643,-122.8662349,01-22-2025,1,Control,right,8.3,9.1,11.1,3,9,6,5,0.24,0.2,-0.03999999999999998
S Johnson Bay,49.4021643,-122.8662349,02-08-2025,3,Removal,left,NA,NA,NA,3,15,16,18,0.64,0.72,0.07999999999999996
S Johnson Bay,49.4021643,-122.8662349,02-08-2025,3,Addition,center,NA,NA,NA,0,7,2,2,0.08,0.08,0
S Johnson Bay,49.4021643,-122.8662349,02-08-2025,3,Control,right,NA,NA,NA,0,12,6,15,0.24,0.6,0.36
S Johnson Bay,49.4021643,-122.8662349,03-01-2025,6,Removal,left,NA,NA,NA,0,12,16,14,0.64,0.56,-0.07999999999999996
S Johnson Bay,49.4021643,-122.8662349,03-01-2025,6,Addition,center,NA,NA,NA,0,NA,2,4,0.08,0.16,0.08
S Johnson Bay,49.4021643,-122.8662349,03-01-2025,6,Control,right,NA,NA,NA,0,9,6,10,0.24,0.4,0.16000000000000003
Jug Island,49.3302902,-122.916925,01-13-2025,0,Control,right,NA,9,NA,1,27,6,6,0.24,0.24,0
Jug Island,49.3302902,-122.916925,01-13-2025,0,Removal,left,NA,7.5,NA,0,6,1,0,0.04,0,-0.04
Jug Island,49.3302902,-122.916925,01-13-2025,0,Addition,center,NA,7.2,NA,0,8,1,2,0.04,0.08,0.04
Jug Island,49.3302902,-122.916925,01-20-2025,1,Removal,left,5.9,7.1,8.3,0,5,1,0,0.04,0,-0.04
Jug Island,49.3302902,-122.916925,01-20-2025,1,Addition,center,5.4,7.2,8.7,0,8,1,7,0.04,0.28,0.24000000000000002
Jug Island,49.3302902,-122.916925,01-20-2025,1,Control,right,7.3,8.7,10.1,3,11,6,5,0.24,0.2,-0.03999999999999998
Jug Island,49.3302902,-122.916925,02-05-2025,3,Removal,left,NA,NA,NA,0,9,1,0,0.04,0,-0.04
Jug Island,49.3302902,-122.916925,02-05-2025,3,Addition,center,NA,NA,NA,1,18,1,11,0.04,0.44,0.4
Jug Island,49.3302902,-122.916925,02-05-2025,3,Control,right,NA,NA,NA,3,NA,6,5,0.24,0.2,-0.03999999999999998
Jug Island,49.3302902,-122.916925,02-24-2025,6,Removal,left,NA,NA,NA,0,10,1,2,0.04,0.08,0.04
Jug Island,49.3302902,-122.916925,02-24-2025,6,Addition,center,NA,NA,NA,2,15,1,8,0.04,0.32,0.28
Jug Island,49.3302902,-122.916925,02-24-2025,6,Control,right,NA,NA,NA,0,9,6,7,0.24,0.28,0.040000000000000036
Twin Islands,49.3474048,-122.8931744,01-13-2025,0,Removal,left,NA,6.8,NA,1,20,3,1,0.12,0.04,-0.07999999999999999
Twin Islands,49.3474048,-122.8931744,01-13-2025,0,Control,center,NA,5.1,NA,0,NA,0,0,0,0,0
Twin Islands,49.3474048,-122.8931744,01-13-2025,0,Addition,right,NA,7.1,NA,0,3,0,2,0,0.08,0.08
Twin Islands,49.3474048,-122.8931744,01-20-2025,1,Removal,left,5.6,7.2,8.4,2,5,3,2,0.12,0.08,-0.039999999999999994
Twin Islands,49.3474048,-122.8931744,01-20-2025,1,Control,center,5.6,5.6,6.5,0,5,0,0,0,0,0
Twin Islands,49.3474048,-122.8931744,01-20-2025,1,Addition,right,6.8,7.7,8.4,0,3,0,0,0,0,0
Twin Islands,49.3474048,-122.8931744,02-05-2025,3,Removal,left,NA,NA,NA,1,12,3,2,0.12,0.08,-0.039999999999999994
Twin Islands,49.3474048,-122.8931744,02-05-2025,3,Control,center,NA,NA,NA,0,10,0,0,0,0,0
Twin Islands,49.3474048,-122.8931744,02-05-2025,3,Addition,right,NA,NA,NA,0,3,0,0,0,0,0
Twin Islands,49.3474048,-122.8931744,02-24-2025,6,Removal,left,NA,NA,NA,1,11,3,1,0.12,0.04,-0.07999999999999999
Twin Islands,49.3474048,-122.8931744,02-24-2025,6,Control,center,NA,NA,NA,0,10,0,0,0,0,0
Twin Islands,49.3474048,-122.8931744,02-24-2025,6,Addition,right,NA,NA,NA,0,10,0,0,0,0,0
