site,latitude,longitude,date,week,treatment,plot_position,top_depth_m,middle_depth_m,bottom_depth_m,unmeasured_sea_cucumber,survey_time,species,abundance,density
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Control,left,NA,NA,NA,0,13,sunflower_star,0,0
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Removal,center,NA,NA,NA,0,10,initial_sea_cucumber,8,0.32
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Removal,center,NA,NA,NA,0,10,experimental_sea_cucumber,13,0.52
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Removal,center,NA,NA,NA,0,10,blood_star,0,0
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Removal,center,NA,NA,NA,0,10,leather_star,27,1.08
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Removal,center,NA,NA,NA,0,10,mottled_star,2,0.08
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Removal,center,NA,NA,NA,0,10,ochre_star,4,0.16
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Removal,center,NA,NA,NA,0,10,pink_star,2,0.08
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Removal,center,NA,NA,NA,0,10,sunflower_star,0,0
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Addition,right,NA,NA,NA,1,10,initial_sea_cucumber,2,0.08
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Addition,right,NA,NA,NA,1,10,experimental_sea_cucumber,11,0.44
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Addition,right,NA,NA,NA,1,10,blood_star,0,0
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Addition,right,NA,NA,NA,1,10,leather_star,43,1.72
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Addition,right,NA,NA,NA,1,10,mottled_star,2,0.08
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Addition,right,NA,NA,NA,1,10,ochre_star,4,0.16
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Addition,right,NA,NA,NA,1,10,pink_star,0,0
Best Pt,49.3819729,-122.8795259,02-10-2025,3,Addition,right,NA,NA,NA,1,10,sunflower_star,0,0
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Control,left,NA,NA,NA,0,13,initial_sea_cucumber,10,0.4
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Control,left,NA,NA,NA,0,13,experimental_sea_cucumber,6,0.24
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Control,left,NA,NA,NA,0,13,blood_star,0,0
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Control,left,NA,NA,NA,0,13,leather_star,92,3.68
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Control,left,NA,NA,NA,0,13,mottled_star,1,0.04
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Control,left,NA,NA,NA,0,13,ochre_star,19,0.76
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Control,left,NA,NA,NA,0,13,pink_star,9,0.36
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Control,left,NA,NA,NA,0,13,sunflower_star,0,0
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Removal,center,NA,NA,NA,1,16,initial_sea_cucumber,8,0.32
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Removal,center,NA,NA,NA,1,16,experimental_sea_cucumber,15,0.6
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Removal,center,NA,NA,NA,1,16,blood_star,0,0
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Removal,center,NA,NA,NA,1,16,leather_star,52,2.08
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Removal,center,NA,NA,NA,1,16,mottled_star,4,0.16
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Removal,center,NA,NA,NA,1,16,ochre_star,0,0
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Removal,center,NA,NA,NA,1,16,pink_star,0,0
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Removal,center,NA,NA,NA,1,16,sunflower_star,0,0
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Addition,right,NA,NA,NA,0,10,initial_sea_cucumber,2,0.08
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Addition,right,NA,NA,NA,0,10,experimental_sea_cucumber,9,0.36
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Addition,right,NA,NA,NA,0,10,blood_star,0,0
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Addition,right,NA,NA,NA,0,10,leather_star,142,5.68
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Addition,right,NA,NA,NA,0,10,mottled_star,2,0.08
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Addition,right,NA,NA,NA,0,10,ochre_star,5,0.2
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Addition,right,NA,NA,NA,0,10,pink_star,0,0
Best Pt,49.3819729,-122.8795259,03-03-2025,6,Addition,right,NA,NA,NA,0,10,sunflower_star,0,0
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Control,center,NA,6.7,NA,0,9,initial_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Control,center,NA,6.7,NA,0,9,experimental_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Control,center,NA,6.7,NA,0,9,blood_star,0,0
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Control,center,NA,6.7,NA,0,9,leather_star,27,1.08
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Control,center,NA,6.7,NA,0,9,mottled_star,0,0
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Control,center,NA,6.7,NA,0,9,ochre_star,5,0.2
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Control,center,NA,6.7,NA,0,9,pink_star,10,0.4
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Control,center,NA,6.7,NA,0,9,sunflower_star,1,0.04
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Removal,left,NA,5.5,NA,0,3,initial_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Removal,left,NA,5.5,NA,0,3,experimental_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Removal,left,NA,5.5,NA,0,3,blood_star,0,0
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Removal,left,NA,5.5,NA,0,3,leather_star,17,0.68
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Removal,left,NA,5.5,NA,0,3,mottled_star,0,0
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Removal,left,NA,5.5,NA,0,3,ochre_star,1,0.04
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Removal,left,NA,5.5,NA,0,3,pink_star,10,0.4
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Removal,left,NA,5.5,NA,0,3,sunflower_star,0,0
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Addition,right,NA,6.1,NA,0,4,initial_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Addition,right,NA,6.1,NA,0,4,experimental_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Addition,right,NA,6.1,NA,0,4,blood_star,0,0
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Addition,right,NA,6.1,NA,0,4,leather_star,7,0.28
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Addition,right,NA,6.1,NA,0,4,mottled_star,0,0
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Addition,right,NA,6.1,NA,0,4,ochre_star,0,0
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Addition,right,NA,6.1,NA,0,4,pink_star,7,0.28
Boulder Island,49.3114465,-122.938326,01-13-2025,0,Addition,right,NA,6.1,NA,0,4,sunflower_star,0,0
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Removal,left,5,6.1,6.7,0,2,initial_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Removal,left,5,6.1,6.7,0,2,experimental_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Removal,left,5,6.1,6.7,0,2,blood_star,0,0
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Removal,left,5,6.1,6.7,0,2,leather_star,8,0.32
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Removal,left,5,6.1,6.7,0,2,mottled_star,1,0.04
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Removal,left,5,6.1,6.7,0,2,ochre_star,1,0.04
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Removal,left,5,6.1,6.7,0,2,pink_star,7,0.28
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Removal,left,5,6.1,6.7,0,2,sunflower_star,0,0
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Control,center,5.9,7.1,7.6,0,4,initial_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Control,center,5.9,7.1,7.6,0,4,experimental_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Control,center,5.9,7.1,7.6,0,4,blood_star,0,0
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Control,center,5.9,7.1,7.6,0,4,leather_star,13,0.52
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Control,center,5.9,7.1,7.6,0,4,mottled_star,1,0.04
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Control,center,5.9,7.1,7.6,0,4,ochre_star,5,0.2
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Control,center,5.9,7.1,7.6,0,4,pink_star,13,0.52
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Control,center,5.9,7.1,7.6,0,4,sunflower_star,0,0
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Addition,right,6.4,7.3,7.7,0,3,initial_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Addition,right,6.4,7.3,7.7,0,3,experimental_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Addition,right,6.4,7.3,7.7,0,3,blood_star,0,0
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Addition,right,6.4,7.3,7.7,0,3,leather_star,12,0.48
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Addition,right,6.4,7.3,7.7,0,3,mottled_star,0,0
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Addition,right,6.4,7.3,7.7,0,3,ochre_star,0,0
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Addition,right,6.4,7.3,7.7,0,3,pink_star,8,0.32
Boulder Island,49.3114465,-122.938326,01-20-2025,1,Addition,right,6.4,7.3,7.7,0,3,sunflower_star,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Removal,left,NA,NA,NA,0,NA,initial_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Removal,left,NA,NA,NA,0,NA,experimental_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Removal,left,NA,NA,NA,0,NA,blood_star,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Removal,left,NA,NA,NA,0,NA,leather_star,15,0.6
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Removal,left,NA,NA,NA,0,NA,mottled_star,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Removal,left,NA,NA,NA,0,NA,ochre_star,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Removal,left,NA,NA,NA,0,NA,pink_star,12,0.48
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Removal,left,NA,NA,NA,0,NA,sunflower_star,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Control,center,NA,NA,NA,0,12,initial_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Control,center,NA,NA,NA,0,12,experimental_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Control,center,NA,NA,NA,0,12,blood_star,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Control,center,NA,NA,NA,0,12,leather_star,20,0.8
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Control,center,NA,NA,NA,0,12,mottled_star,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Control,center,NA,NA,NA,0,12,ochre_star,3,0.12
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Control,center,NA,NA,NA,0,12,pink_star,11,0.44
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Control,center,NA,NA,NA,0,12,sunflower_star,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Addition,right,NA,NA,NA,0,12,initial_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Addition,right,NA,NA,NA,0,12,experimental_sea_cucumber,1,0.04
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Addition,right,NA,NA,NA,0,12,blood_star,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Addition,right,NA,NA,NA,0,12,leather_star,14,0.56
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Addition,right,NA,NA,NA,0,12,mottled_star,2,0.08
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Addition,right,NA,NA,NA,0,12,ochre_star,0,0
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Addition,right,NA,NA,NA,0,12,pink_star,11,0.44
Boulder Island,49.3114465,-122.938326,02-05-2025,3,Addition,right,NA,NA,NA,0,12,sunflower_star,1,0.04
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Removal,left,NA,NA,NA,0,6,initial_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Removal,left,NA,NA,NA,0,6,experimental_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Removal,left,NA,NA,NA,0,6,blood_star,0,0
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Removal,left,NA,NA,NA,0,6,leather_star,16,0.64
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Removal,left,NA,NA,NA,0,6,mottled_star,1,0.04
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Removal,left,NA,NA,NA,0,6,ochre_star,0,0
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Removal,left,NA,NA,NA,0,6,pink_star,13,0.52
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Removal,left,NA,NA,NA,0,6,sunflower_star,0,0
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Control,center,NA,NA,NA,0,6,initial_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Control,center,NA,NA,NA,0,6,experimental_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Control,center,NA,NA,NA,0,6,blood_star,0,0
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Control,center,NA,NA,NA,0,6,leather_star,11,0.44
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Control,center,NA,NA,NA,0,6,mottled_star,1,0.04
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Control,center,NA,NA,NA,0,6,ochre_star,1,0.04
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Control,center,NA,NA,NA,0,6,pink_star,2,0.08
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Control,center,NA,NA,NA,0,6,sunflower_star,0,0
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Addition,right,NA,NA,NA,0,7,initial_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Addition,right,NA,NA,NA,0,7,experimental_sea_cucumber,0,0
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Addition,right,NA,NA,NA,0,7,blood_star,0,0
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Addition,right,NA,NA,NA,0,7,leather_star,14,0.56
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Addition,right,NA,NA,NA,0,7,mottled_star,1,0.04
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Addition,right,NA,NA,NA,0,7,ochre_star,0,0
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Addition,right,NA,NA,NA,0,7,pink_star,4,0.16
Boulder Island,49.3114465,-122.938326,02-24-2025,6,Addition,right,NA,NA,NA,0,7,sunflower_star,0,0
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Control,center,NA,7.2,NA,0,14,initial_sea_cucumber,2,0.08
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Control,center,NA,7.2,NA,0,14,experimental_sea_cucumber,2,0.08
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Control,center,NA,7.2,NA,0,14,blood_star,0,0
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Control,center,NA,7.2,NA,0,14,leather_star,33,1.32
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Control,center,NA,7.2,NA,0,14,mottled_star,3,0.12
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Control,center,NA,7.2,NA,0,14,ochre_star,0,0
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Control,center,NA,7.2,NA,0,14,pink_star,10,0.4
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Control,center,NA,7.2,NA,0,14,sunflower_star,0,0
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Removal,left,NA,5.8,NA,4,12,initial_sea_cucumber,12,0.48
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Removal,left,NA,5.8,NA,4,12,experimental_sea_cucumber,4,0.16
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Removal,left,NA,5.8,NA,4,12,blood_star,0,0
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Removal,left,NA,5.8,NA,4,12,leather_star,43,1.72
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Removal,left,NA,5.8,NA,4,12,mottled_star,0,0
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Removal,left,NA,5.8,NA,4,12,ochre_star,2,0.08
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Removal,left,NA,5.8,NA,4,12,pink_star,7,0.28
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Removal,left,NA,5.8,NA,4,12,sunflower_star,0,0
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Addition,right,NA,5.5,NA,0,10,initial_sea_cucumber,3,0.12
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Addition,right,NA,5.5,NA,0,10,experimental_sea_cucumber,11,0.44
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Addition,right,NA,5.5,NA,0,10,blood_star,0,0
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Addition,right,NA,5.5,NA,0,10,leather_star,21,0.84
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Addition,right,NA,5.5,NA,0,10,mottled_star,1,0.04
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Addition,right,NA,5.5,NA,0,10,ochre_star,5,0.2
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Addition,right,NA,5.5,NA,0,10,pink_star,5,0.2
Brighton Beach,49.35914,-122.89389,01-18-2025,0,Addition,right,NA,5.5,NA,0,10,sunflower_star,0,0
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Control,center,6.3,8,10.4,0,13,initial_sea_cucumber,2,0.08
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Control,center,6.3,8,10.4,0,13,experimental_sea_cucumber,1,0.04
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Control,center,6.3,8,10.4,0,13,blood_star,0,0
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Control,center,6.3,8,10.4,0,13,leather_star,26,1.04
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Control,center,6.3,8,10.4,0,13,mottled_star,4,0.16
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Control,center,6.3,8,10.4,0,13,ochre_star,0,0
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Control,center,6.3,8,10.4,0,13,pink_star,7,0.28
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Control,center,6.3,8,10.4,0,13,sunflower_star,0,0
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Addition,right,5,7.5,8.5,1,NA,initial_sea_cucumber,3,0.12
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Addition,right,5,7.5,8.5,1,NA,experimental_sea_cucumber,10,0.4
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Addition,right,5,7.5,8.5,1,NA,blood_star,0,0
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Addition,right,5,7.5,8.5,1,NA,leather_star,51,2.04
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Addition,right,5,7.5,8.5,1,NA,mottled_star,7,0.28
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Addition,right,5,7.5,8.5,1,NA,ochre_star,23,0.92
Brighton Beach,49.35914,-122.89389,01-25-2025,1,Addition,right,5,7.5,8.5,1,NA,pink_star,1,0.04
